
2025/03/09 (13:21:05) | ===> btop++ v.1.4.0
2025/03/09 (13:21:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/09 (13:21:05) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/09 (13:21:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/09 (13:21:28) | ===> btop++ v.1.4.0
2025/03/09 (13:21:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/09 (13:21:28) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/09 (13:21:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/09 (19:02:11) | ===> btop++ v.1.4.0
2025/03/09 (19:02:11) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2025/03/13 (13:19:47) | ===> btop++ v.1.4.0
2025/03/13 (13:19:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/13 (13:19:47) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/13 (13:19:47) | WARNING: Intel GPU: Failed to initialize PMU
